MotherShip.UTCGregorian   MotherShip.motherVNB.X    MotherShip.motherVNB.Y    MotherShip.motherVNB.Z    MotherShip.motherVNB.VX   MotherShip.motherVNB.VY   MotherShip.motherVNB.VZ   
01 Jan 2028 00:00:00.000   -1145.121942161419        0                         49709.90931331549         2.642452350724451         0                         0                         
01 Jan 2028 00:14:24.000   -1163.88947937181         -9.094947017729282e-13    49656.41236001505         2.642259640078494         0                         -4.163336342344337e-17    
01 Jan 2028 00:28:48.000   -1180.037239860653        0                         49602.11387818517         2.64200928191227          2.775557561562891e-17     -1.561251128379126e-17    
01 Jan 2028 00:43:12.000   -1193.529390902346        -9.094947017729282e-13    49547.13751082751         2.64170225805344          -5.551115123125783e-17    -1.214306433183765e-17    
01 Jan 2028 00:57:36.000   -1204.335695809991        0                         49491.60840207123         2.641339685225156         0                         8.500145032286355e-17     
01 Jan 2028 01:12:00.000   -1212.431589640524        0                         49435.65293524008         2.640922814027391         -1.387778780781446e-17    -4.163336342344337e-17    
01 Jan 2028 01:26:24.000   -1217.798249989652        0                         49379.39841955814         2.640453024951884         5.551115123125783e-17     -1.110223024625157e-16    
01 Jan 2028 01:40:48.000   -1220.42265227721         -9.094947017729282e-13    49322.972809676           2.6399318271443           2.775557561562891e-17     -1.283695372222837e-16    
01 Jan 2028 01:55:12.000   -1220.29761369226         0                         49266.50442625342         2.639360854786652         0                         -1.925543058334256e-16    
01 Jan 2028 02:09:36.000   -1217.42182310391         0                         49210.12165126745         2.638741864677002         -3.469446951953614e-17    -1.275021754842953e-16    
01 Jan 2028 02:24:00.000   -1211.799853758758        9.094947017729282e-13     49153.95265092047         2.638076732287328         3.469446951953614e-17     -1.39645239816133e-16     
01 Jan 2028 02:38:24.000   -1203.442157423203        0                         49098.12507080899         2.637367448810546         -1.387778780781446e-17    4.250072516143177e-17     
01 Jan 2028 02:52:48.000   -1192.365043226244        0                         49042.76576444563         2.636616116606264         -6.938893903907228e-18    -3.387047586844716e-16    
01 Jan 2028 03:07:12.000   -1178.590632123226        0                         48988.00049514431         2.63582494553759          8.673617379884035e-19     1.178527761491743e-16     
01 Jan 2028 03:21:36.000   -1162.14679752977         0                         48933.9536671672          2.634996247594078         -5.204170427930421e-18    -1.778091562876227e-17    
01 Jan 2028 03:36:00.000   -1143.067080362696        0                         48880.74804306506         2.634132432222586         1.387778780781446e-17     2.883977778811442e-16     
01 Jan 2028 03:50:24.000   -1121.390593330917        0                         48828.50447869185         2.633236000331716         -4.163336342344337e-17    1.01047642475649e-16      
01 Jan 2028 04:04:48.000   -1097.161905636098        0                         48777.34166147251         2.632309537582118         4.163336342344337e-17     1.205632815803881e-16     
01 Jan 2028 04:19:12.000   -1070.430915150363        0                         48727.37586930252         2.631355708643888         6.938893903907228e-18     2.116362640691705e-16     
01 Jan 2028 04:33:36.000   -1041.252701555316        9.094947017729282e-13     48678.72069906259         2.630377248593042         -1.387778780781446e-17    -1.700029006457271e-16    
01 Jan 2028 04:48:00.000   -1009.687385160437        -1.818989403545856e-12    48631.48685514212         2.629376955431864         -1.387778780781446e-17    1.97758476261356e-16      
