MotherShip.UTCGregorian   MotherShip.MothershipCentralBodyICRF.X   MotherShip.MothershipCentralBodyICRF.Y   MotherShip.MothershipCentralBodyICRF.Z   MotherShip.MothershipCentralBodyICRF.VX   MotherShip.MothershipCentralBodyICRF.VY   MotherShip.MothershipCentralBodyICRF.VZ   
01 Jan 2028 00:00:00.000   6860.319908618927                        236202.8384696245                        -18044.42090988159                       -12.62961012238966                        0.379379738839031                         1.059312169749458                         
01 Jan 2028 00:14:24.000   -4055.091738700867                       236279.1876228452                        -17110.3006875217                        -12.63306470060999                        -0.20274791673625                         1.102624862777319                         
01 Jan 2028 00:28:48.000   -14961.86724853516                       235852.4940981269                        -16139.75256329775                       -12.60961621109798                        -0.7848614645963981                       1.14362029485867                          
01 Jan 2028 00:43:12.000   -25836.76359391212                       234923.3133367896                        -15134.81868797541                       -12.55927748417158                        -1.365703031042596                        1.182206622315063                         
01 Jan 2028 00:57:36.000   -36656.57471299171                       233493.2880569696                        -14097.61837217212                       -12.48212122489661                        -1.944014133382572                        1.21829711138142                          
01 Jan 2028 01:12:00.000   -47398.18326854706                       231565.1475037932                        -13030.34357473254                       -12.3782801544349                         -2.518538644579877                        1.251810369442919                         
01 Jan 2028 01:26:24.000   -58038.61252331734                       229142.7041224837                        -11935.25419053435                       -12.24794699390354                        -3.088025783647936                        1.282670564615032                         
01 Jan 2028 01:40:48.000   -68555.07811403275                       226230.8476426005                        -10814.67315626144                       -12.09137428849747                        -3.65123311778116                         1.310807632438478                         
01 Jan 2028 01:55:12.000   -78925.03960347176                       222835.5365673304                        -9670.981382548809                       -11.90887406994517                        -4.206929567984879                        1.336157468913886                         
01 Jan 2028 02:09:36.000   -89126.25167632103                       218963.7870672941                        -8506.612526327372                       -11.70081735610565                        -4.753898408276426                        1.358662109040248                         
01 Jan 2028 02:24:00.000   -99136.81482243538                       214623.6592887044                        -7324.047614812851                       -11.46763348718799                        -5.290940248501889                        1.378269890076625                         
01 Jan 2028 02:38:24.000   -108935.2253870964                       209824.2410968542                        -6125.809535622597                       -11.20980929877939                        -5.816875990699477                        1.394935598799018                         
01 Jan 2028 02:52:48.000   -118500.4248290062                       204575.6292786598                        -4914.457406908274                       -10.92788813258121                        -6.330549748875115                        1.408620602081347                         
01 Jan 2028 03:07:12.000   -127811.8480565548                       198888.9082425237                        -3692.5808416605                         -10.62246868648432                        -6.83083172205948                         1.419292960192258                         
01 Jan 2028 03:21:36.000   -136849.4707005024                       192776.1262600422                        -2462.794122338295                       -10.2942037063417                         -7.316621010574512                        1.426927522266045                         
01 Jan 2028 03:36:00.000   -145593.8551928997                       186250.2693026662                        -1227.730300456285                       -9.943798522527194                        -7.786848365551199                        1.431506003478396                         
01 Jan 2028 03:50:24.000   -154026.1955106258                       179325.2325341105                        9.96476224064827                         -9.572009435090459                        -8.240478861930249                        1.433017043533057                         
01 Jan 2028 04:04:48.000   -162128.3604645729                       172015.7895310521                        1247.63839495182                         -9.179641952025989                        -8.676514485414952                        1.431456246143896                         
01 Jan 2028 04:19:12.000   -169882.9354012012                       164337.5593082905                        2482.637145042419                        -8.767548885864414                        -9.093996624148495                        1.426826199278914                         
01 Jan 2028 04:33:36.000   -177273.2622041702                       156306.9712359309                        3712.312813907862                        -8.3366283144566                          -9.492008456245205                        1.419136476016245                         
01 Jan 2028 04:48:00.000   -184283.4774739742                       147941.2279419303                        4934.028485894203                        -7.887821412459594                        -9.869677224720762                        1.408403615948156                         
01 Jan 2028 05:02:24.000   -190898.5487833023                       139258.2663000226                        6145.164531886578                        -7.422110160629334                        -10.22617639183762                        1.394651087153965                         
01 Jan 2028 05:16:48.000   -197104.3089039326                       130276.7166116238                        7343.124572485685                        -6.940514940586251                        -10.56072766539391                        1.377909228850463                         
01 Jan 2028 05:31:12.000   -202887.4879047871                       121015.8600945473                        8525.34138277173                         -6.444092023235356                        -10.87260289004807                        1.358215174913556                         
01 Jan 2028 05:45:36.000   -208235.7430405617                       111495.5847985744                        9689.282723128796                        -5.933930959489398                        -11.16112579737464                        1.335612758549932                         
01 Jan 2028 06:00:00.000   -213137.686347723                        101736.3400717974                        10832.45707970858                        -5.411151882354961                        -11.42567360898908                        1.31015239848036                          
01 Jan 2028 06:14:24.000   -217582.9098720551                       91759.08970683813                        11952.41929847002                        -4.876902729803906                        -11.66567848774631                        1.281890967076454                         
01 Jan 2028 06:28:48.000   -221562.0084657669                       81585.2639015317                         13046.77609801292                        -4.332356398155618                        -11.88062883271625                        1.250891640971261                         
01 Jan 2028 06:43:12.000   -225066.6001024246                       71236.71016800404                        14113.19144558907                        -3.778707835929481                        -12.07007041435983                        1.217223734736262                         
01 Jan 2028 06:57:36.000   -228089.3436543941                       60735.64333236217                        15149.39178267121                        -3.21717108831772                         -12.23360734705656                        1.180962518288662                         
01 Jan 2028 07:12:00.000   -230623.9541022778                       50104.59476453066                        16153.17108598351                        -2.648976302541687                        -12.37090289687796                        1.142189018756672                         
01 Jan 2028 07:26:24.000   -232665.2151424885                       39366.36098229885                        17122.39575061202                        -2.075366704410939                        -12.48168012324624                        1.100989807590444                         
01 Jan 2028 07:40:48.000   -234208.9891741276                       28543.95177197456                        18055.00928327441                        -1.497595556408207                        -12.56572235385446                        1.057456773762123                         
01 Jan 2028 07:55:12.000   -235252.2246515751                       17660.53797215223                        18949.03679415584                        -0.9169231075464452                       -12.6228734929621                         1.01168688394482                          
01 Jan 2028 08:09:36.000   -235792.9608063698                       6739.399061739445                        19802.58927592635                        -0.3346135451298551                       -12.65303816389499                        0.9637819306043598                        
01 Jan 2028 08:24:00.000   -235830.3297352791                       -4196.129303693771                       20613.86766025424                        0.2480680416300878                        -12.65618168727914                        0.9138482689735419                        
01 Jan 2028 08:38:24.000   -235364.5558738708                       -15122.70766603947                       21381.1666430831                         0.8298586764338971                        -12.6323298972141                         0.8619965439078499                        
01 Jan 2028 08:52:48.000   -234396.9528832436                       -26017.04491227865                       22102.87826910615                        1.409500479716641                         -12.58156879823651                        0.8083414076453543                        
01 Jan 2028 09:07:12.000   -232929.9179673195                       -36855.95005661249                       22777.49526956677                        1.985743612377256                         -12.50404406653974                        0.7530012295099411                        
01 Jan 2028 09:21:36.000   -230966.923674345                        -47616.38352698088                       23403.61414590478                        2.557349170691886                         -12.39996039949155                        0.6960977986077133                        
01 Jan 2028 09:36:00.000   -228512.5072185993                       -58275.50782495737                       23979.93799349666                        3.123092024113937                         -12.26958071802877                        0.6377560205690251                        
01 Jan 2028 09:50:24.000   -225572.2573735714                       -68810.73743504286                       24505.27906191349                        3.681763588098001                         -12.11322522700283                        0.5781036093884024                        
01 Jan 2028 10:04:48.000   -222152.7990095615                       -79199.78786295652                       24978.56104657054                        4.232174524583364                         -11.93127033899625                        0.517270775403702                         
01 Jan 2028 10:19:12.000   -218261.775321722                        -89420.72368645668                       25398.82110968232                        4.773157363264403                         -11.7241474675359                         0.4553899104447243                        
01 Jan 2028 10:33:36.000   -213907.8278388977                       -99452.00551044941                       25765.21162858605                        5.30356903731418                          -11.49234169597788                        0.3925952711598582                        
01 Jan 2028 10:48:00.000   -209100.5742719173                       -109272.5357192755                       26077.0016695857                         5.822293327764626                         -11.23639032864723                        0.3290226615063476                        
01 Jan 2028 11:02:24.000   -203850.5842998028                       -118861.7029305696                       26333.57818770409                        6.328243211306599                         -10.95688133106547                        0.2648091153599417                        
01 Jan 2028 11:16:48.000   -198169.3533625603                       -128199.4250538945                       26534.44695281982                        6.820363106830012                         -10.65445166630842                        0.2000925801674027                        
01 Jan 2028 11:31:12.000   -192069.2745652199                       -137266.1908718944                       26679.23320248723                        7.297631016594185                         -10.32978553468877                        0.1350116025268457                        
01 Jan 2028 11:45:36.000   -185563.6087760925                       -146043.1000596881                       26767.68202534318                        7.759060558473458                         -9.983612524070615                        0.06970501654273864                       
01 Jan 2028 12:00:00.000   -178666.4530158043                       -154511.9015711546                       26799.65847563744                        8.203702886283917                         -9.61670567817939                         0.004311635756452326                      
01 Jan 2028 12:14:24.000   -171392.7072379589                       -162655.0303232074                       26775.14742419124                        8.6306484957381                           -9.229879490294529                        -0.06103005058975874                      
