MotherShip.UTCGregorian   MotherShip.motherRIC.X    MotherShip.motherRIC.Y    MotherShip.motherRIC.Z    MotherShip.motherRIC.VX   MotherShip.motherRIC.VY   MotherShip.motherRIC.VZ   
01 Jan 2028 00:00:00.000   49723.09713001062         2.273736754432321e-13     0                         -0.06085562530464894      4.440892098500626e-16     0                         
01 Jan 2028 00:14:24.000   49670.0506058535          1.13686837721616e-13      -9.094947017729282e-13    -0.06191453721800088      0                         0                         
01 Jan 2028 00:28:48.000   49616.14847075403         -2.273736754432321e-13    0                         -0.06283577901157886      -4.440892098500626e-16    2.775557561562891e-17     
01 Jan 2028 00:43:12.000   49561.5107510233          9.663381206337363e-13     -9.094947017729282e-13    -0.06361689220570774      -4.440892098500626e-16    -5.551115123125783e-17    
01 Jan 2028 00:57:36.000   49506.25946981018         1.989519660128281e-13     0                         -0.0642557062832841       0                         0                         
01 Jan 2028 01:12:00.000   49450.51841480601         -1.250555214937776e-12    0                         -0.06475034738099854      4.440892098500626e-16     -1.387778780781446e-17    
01 Jan 2028 01:26:24.000   49394.41285059616         7.105427357601002e-13     0                         -0.06509924680534943      0                         5.551115123125783e-17     
01 Jan 2028 01:40:48.000   49338.06925928729         -1.70530256582424e-12     -9.094947017729282e-13    -0.06530114880221011      -4.440892098500626e-16    2.775557561562891e-17     
01 Jan 2028 01:55:12.000   49281.61507751173         -3.495870259939693e-12    0                         -0.0653551176783294       4.440892098500626e-16     0                         
01 Jan 2028 02:09:36.000   49225.17840321062         -8.242295734817162e-13    0                         -0.06526054421340927      0                         -3.469446951953614e-17    
01 Jan 2028 02:24:00.000   49168.8877248052          6.068034963391256e-12     9.094947017729282e-13     -0.06501715101392104      8.881784197001252e-16     3.469446951953614e-17     
01 Jan 2028 02:38:24.000   49112.87161727633         -3.879563337250147e-12    0                         -0.06462499682868894      4.440892098500626e-16     -1.387778780781446e-17    
01 Jan 2028 02:52:48.000   49057.25846623096         -2.017941369558685e-12    0                         -0.06408447981275417      0                         -6.938893903907228e-18    
01 Jan 2028 03:07:12.000   49002.176159742           3.613109811340109e-12     0                         -0.06339633935032321      4.440892098500626e-16     8.673617379884035e-19     
01 Jan 2028 03:21:36.000   48947.75180413781         1.054267784184049e-12     0                         -0.06256165682333839      -8.881784197001252e-16    -5.204170427930421e-18    
01 Jan 2028 03:36:00.000   48894.11142049538         5.282885240376345e-12     0                         -0.06158185476967684      -4.440892098500626e-16    1.387778780781446e-17     
01 Jan 2028 03:50:24.000   48841.37965381856         2.891908934543608e-12     0                         -0.06045869510079339      -4.440892098500626e-16    -4.163336342344337e-17    
01 Jan 2028 04:04:48.000   48789.67948047211         6.252776074688882e-13     0                         -0.05919427590487843      4.440892098500626e-16     4.163336342344337e-17     
01 Jan 2028 04:19:12.000   48739.13193166652         1.804778548830654e-12     0                         -0.05779102720251311      -8.881784197001252e-16    6.938893903907228e-18     
01 Jan 2028 04:33:36.000   48689.85578214255         -1.193711796076968e-12    9.094947017729282e-13     -0.05625170525174696      4.440892098500626e-16     -1.387778780781446e-17    
01 Jan 2028 04:48:00.000   48641.96729530596         -8.526512829121202e-13    -1.818989403545856e-12    -0.05457938669736519      -4.440892098500626e-16    -1.387778780781446e-17    
01 Jan 2028 05:02:24.000   48595.57993590275         9.663381206337363e-13     -9.094947017729282e-13    -0.05277746091303766      0                         1.387778780781446e-17     
01 Jan 2028 05:16:48.000   48550.80411271115         -1.023181539494544e-12    9.094947017729282e-13     -0.05084962254731603      -4.440892098500626e-16    -1.387778780781446e-17    
01 Jan 2028 05:31:12.000   48507.74690892137         5.485389920067973e-12     9.094947017729282e-13     -0.04879986230282153      -4.440892098500626e-16    -4.163336342344337e-17    
01 Jan 2028 05:45:36.000   48466.51183905668         2.643218977027573e-12     0                         -0.04663245848232478      4.440892098500626e-16     -2.775557561562891e-17    
01 Jan 2028 06:00:00.000   48427.19859697178         1.932676241267473e-12     0                         -0.04435196634254105      -4.440892098500626e-16    0                         
01 Jan 2028 06:14:24.000   48389.90282826895         1.13686837721616e-13      0                         -0.04196320862835         0                         0                         
01 Jan 2028 06:28:48.000   48354.71589715157         2.330580173293129e-12     0                         -0.03947126375715191      -4.440892098500626e-16    2.775557561562891e-17     
01 Jan 2028 06:43:12.000   48321.72467603467         5.684341886080801e-13     -9.094947017729282e-13    -0.03688145515008373      4.440892098500626e-16     0                         
01 Jan 2028 06:57:36.000   48291.01133040836         5.115907697472721e-13     0                         -0.03419933817034686      4.440892098500626e-16     0                         
01 Jan 2028 07:12:00.000   48262.65314368794         6.252776074688882e-13     -4.547473508864641e-13    -0.03143068786710013      0                         0                         
01 Jan 2028 07:26:24.000   48236.72230727462         0                         0                         -0.02858148466835342      0                         -2.775557561562891e-17    
01 Jan 2028 07:40:48.000   48213.28576596358         0                         0                         -0.0256579006268215       -4.440892098500626e-16    -2.775557561562891e-17    
01 Jan 2028 07:55:12.000   48192.40505469601         -1.13686837721616e-13     0                         -0.02266628294614731      0                         0                         
01 Jan 2028 08:09:36.000   48174.13615412515         -2.273736754432321e-13    0                         -0.01961313916011606      0                         -2.775557561562891e-17    
01 Jan 2028 08:24:00.000   48158.5293603926          -6.252776074688882e-13    4.547473508864641e-13     -0.01650511910357024      0                         2.775557561562891e-17     
01 Jan 2028 08:38:24.000   48145.62916661958         1.364242052659392e-12     4.547473508864641e-13     -0.01334899881211016      0                         -5.551115123125783e-17    
01 Jan 2028 08:52:48.000   48135.47416624608         -1.13686837721616e-12     0                         -0.01015166172486433      0                         0                         
01 Jan 2028 09:07:12.000   48128.09696211365         -1.27897692436818e-12     0                         -0.006920081998781214     -1.332267629550188e-15    0                         
01 Jan 2028 09:21:36.000   48123.52410215214         -8.526512829121202e-13    0                         -0.00366130583872934      0                         0                         
01 Jan 2028 09:36:00.000   48121.77601750807         -1.165290086646564e-12    4.547473508864641e-13     -0.0003824353272190457    4.440892098500626e-16     -5.551115123125783e-17    
01 Jan 2028 09:50:24.000   48122.86698962848         2.756905814749189e-12     0                         0.002909389753525289      4.440892098500626e-16     0                         
01 Jan 2028 10:04:48.000   48126.80511142034         2.017941369558685e-12     2.273736754432321e-13     0.006207007058693141      -4.440892098500626e-16    -5.551115123125783e-17    
